Name,AttributeDataType,AttributeDefault,AttributeGroup,AttributePurpose,AttributeInheritsPrefs,AttributeReadOnly,AttributeIntrinsic,OriginalVersion,CodeFirstAdded,CodeAltered,PlainLinkCount,TextLinkCount,WebLinkCount,ChangeRefSet,IsInternalOnly,HasUISetting,Text,TextJa
HTMLExportCommand,string,(not set - empty string),HTML,HTML export post-processing,,,,2.5.0,Baseline,,,,,,,,"Run a program or script on the contents of the exported HTML file. Where is the working directory location assumed for executing scripts? \nIf $HTMLExportCommand is empty, no special action is performed.\nOtherwise, the exported file is piped to the standard input of the command line in $HTMLExportCommand, and the file is replaced by command line's standard output. In other words, any action carried out by the linked command is carried out on the exported page after the normal page export.\nThis attribute needs to be actual command line code: it cannot use code stored in another note as runCommand() can.",エクスポートされた HTML ファイルのコンテンツに対してプログラムまたはスクリプトを実行します。スクリプトを実行するために想定される作業ディレクトリの場所はどこですか?\n$HTMLExportCommand が空の場合、特別なアクションは実行されません。\nそれ以外の場合、エクスポートされたファイルは $HTMLExportCommand のコマンド ラインの標準入力にパイプ処理され、ファイルはコマンド ラインの標準出力に置き換えられます。つまり、リンクされたコマンドによって実行されるアクションは、通常のページのエクスポート後にエクスポートされたページで実行されます。\nこの属性は実際のコマンド ライン コードである必要があります。runCommand() のように、別のメモに保存されているコードを使用することはできません。
HTMLExportExtension,string,.html,HTML,HTML export file configuration,true,,,1.0.0,Baseline,,,,,,,true,"File extension to use for exported HTML pages (includes preceding full stop).\nThe default value is '.html'. A new note inherits the default but the value can be altered at note level by editing the note's Get Info or via a stamp. Editing allows for other extensions, such as ASP/PHP/etc., to be specified as well as other forms like '.txt', '.js' or '.md'.\n$HTMLExportExtension can be set via the Export Inspector's ▸ Export tab, 'Extension' box.\nIf the note's default is altered it is saved as the note's $HTMLExportExtension value.",エクスポートされた HTML ページに使用するファイル拡張子 (先行するピリオドを含む)。\nデフォルト値は「.html」です。新しいノートはデフォルトを継承しますが、ノートの「情報を見る」を編集するかスタンプを介してノートレベルで値を変更できます。編集では、「.txt」、「.js」、「.md」などの他の形式だけでなく、ASP/PHP/などの他の拡張子も指定できます。\n$HTMLExportExtension は、エクスポート インスペクターの [エクスポート] タブの [拡張機能] ボックスで設定できます。\nノートのデフォルトが変更された場合、それはノートの $HTMLExportExtension 値として保存されます。
HTMLExportFileName,string,(not set - empty string),HTML,HTML export file configuration,,,,1.0.0,Baseline,,,,,,,true,"Specific filename to be used for the note's exported HTML page instead of default calculated name.\nIf left empty, Tinderbox automatically generates a filename based on the note's title.\nNote that a string set for this attribute should be the desired filename without its extension, i.e. 'index' not index.html'.\nAutomatic filenames strip unsafe (see below) characters from the note title and truncate the resulting string to the number of characters set in $HTMLFileNameMaxLength (where, fthe default is 100). The case of characters in the exported name will be as per the note title except if $HTMLFileNameLowerCase is true.\nDefault: (not set: empty string)\n$HTMLExportFileName can be set via the Export Inspector's ▸ Export tab, 'File Name' box.\nTo avoid filename naming collisions, Tinderbox has to check if the intended export name already exists in the currently exported-to folder. If a duplicate name might arise, a suffix will be added. Simplistically, if file ""abc.html"" is already being exported to the current folder, another note that would export with that name will be exported as ""abc_1.html"" (and -@, _3, etc.). \nPunctuation characters in $Name other than a forward slash, period, and tilde (/.~) are also allowed in export filenames. \nAny caret () characters in $Name are omitted from the exported filename as this caused issues re export code parsing (carets themselves are not illegal in a URL, but not generally meaningful).\nBecause the filename might change on export, Tinderbox does not return a value for eval($HTMLExportFileName); an exception is if this attribute already has an explicitly set value. The workaround is to use file(), noting that the latter returns both file name and extension rather than just the name portion.\nAs Windows-OS web servers support fewer characters in file paths/names that other OSs, the following characters are suppressed when generating filenames from $Name:\n	[space] / \ ? % * : | ' ""  . & ^ + ( ) ! # \nFurther manipulation is available via $HTMLExportFileNameSpacer.\n$HTMLExportPath evaluates the likely exported filename and path.","デフォルトの計算された名前の代わりに、ノートのエクスポートされた HTML ページに使用される特定のファイル名。\n空のままにすると、Tinderbox はメモのタイトルに基づいてファイル名を自動的に生成します。\nこの属性に設定される文字列は、拡張子を除いた目的のファイル名である必要があることに注意してください。つまり、index.html ではなく、「index」です。\n自動ファイル名は、ノートのタイトルから安全でない文字 (以下を参照) を取り除き、結果の文字列を $HTMLFileNameMaxLength で設定された文字数 (デフォルトは 100) に切り詰めます。$HTMLFileNameLowerCase が true の場合を除き、エクスポートされる名前の大文字と小文字はメモのタイトルどおりになります。\nデフォルト: (未設定: 空の文字列)\n$HTMLExportFileName は、エクスポート インスペクターの [エクスポート] タブの [ファイル名] ボックスで設定できます。\nファイル名の名前の衝突を避けるために、Tinderbox は、目的のエクスポート名が現在のエクスポート先フォルダーに既に存在するかどうかを確認する必要があります。重複する名前が発生する可能性がある場合は、サフィックスが追加されます。単純化すると、ファイル「abc.html」がすでに現在のフォルダーにエクスポートされている場合、その名前でエクスポートされる別のメモは「abc_1.html」(および -@、_3 など) としてエクスポートされます。\n$Name 内のスラッシュ、ピリオド、チルダ (/.~) 以外の句読点文字もエクスポート ファイル名に使用できます。\n$Name 内のキャレット () 文字は、エクスポート コードの解析で問題が発生するため、エクスポートされるファイル名から省略されます (キャレット自体は URL 内では不正ではありませんが、一般的には意味がありません)。\nファイル名はエクスポート時に変更される可能性があるため、Tinderbox は eval($HTMLExportFileName) の値を返しません。ただし、この属性にすでに値が明示的に設定されている場合は例外です。回避策は、file() を使用することです。後者は、名前の部分だけではなく、ファイル名と拡張子の両方を返すことに注意してください。\nWindows OS Web サーバーがサポートするファイル パス/名前の文字数は他の OS よりも少ないため、$Name からファイル名を生成するときに次の文字は抑制されます。\n[スペース] / \ ?% * : |' "" . & ^ + ( ) ! #\n$HTMLExportFileNameSpacer を介してさらに操作することもできます。\n$HTMLExportPath は、エクスポートされる可能性のあるファイル名とパスを評価します。"
HTMLExportFileNameSpacer,string,space,HTML,HTML export file configuration,,,,5.9.0,Baseline,,,,,,,,"Character used to replace any character normally suppressed on export. \nDefault value: a space (i.e. "" "").\nIt allows more flexibility with the construction of filenames created via HTML Export.\nReflecting the fact that long-term Tinderbox-created websites might be affected, the default value is an empty string, thus maintaining the status quo.\nIf used, it is most likely needed for all exported pages and thus should be set by changing the attribute default (i.e. at document level) rather than by setting the attribute at note level.\nThe default is now a space "" "" character rather than previous default of an underscore ( _ ) character or not character at all. \nPunctuation characters other than a forward slash, period, and tilde ( /.~ ) are also allowed in export filenames.","エクスポート時に通常抑制される文字を置き換えるために使用される文字。\nデフォルト値: スペース (例: "" "")。\nこれにより、HTML エクスポートを通じて作成されるファイル名の構築がより柔軟になります。\n長期的に Tinderbox で作成された Web サイトが影響を受ける可能性があるという事実を反映して、デフォルト値は空の文字列であり、現状が維持されます。\n使用する場合は、エクスポートされるすべてのページで必要となる可能性が高いため、ノート レベルで属性を設定するのではなく、属性のデフォルト (つまり、ドキュメント レベル) を変更して設定する必要があります。\nデフォルトは、以前のデフォルトのアンダースコア ( _ ) 文字または文字ではなく、スペース "" "" 文字になりました。\nエクスポート ファイル名には、スラッシュ、ピリオド、チルダ ( /.~ ) 以外の句読点文字も使用できます。"
HTMLExportPath,string,(calculated),HTML,HTML export file configuration,,true,,5.10.2,Baseline,,,,,,,,"The calculated export folder/filename path for the note (read-only)\nThe folders and file from export root that would be created if the file were exported at that time. It thus show the names of the folders & file with any characters omitted or substituted as part of the export process.\nThis can be extremely useful in more complex export scenarios where there is a need to reference in code an exported note's OS filename or path without being forced to hard-set $HTMLExportFileName. If not set, the latter cannot be queried within Tinderbox.\nTo get just the exported filename from the path:\n	$MyString = $HTMLExportPath.split(""/"").at(-1) \nFor this note:\n	$Path = """"\n	$HTMLExportPath = """"\nNote the spaces being lost in the latter. The export version will also show $HTMLExportFileNameSpacer changes, if the latter is set.","計算されたメモのエクスポート フォルダー/ファイル名のパス (読み取り専用)\nその時点でファイルがエクスポートされた場合に作成されるエクスポート ルートのフォルダーとファイル。したがって、エクスポート プロセスの一部として省略または置換された文字を含むフォルダーとファイルの名前が表示されます。\nこれは、$HTMLExportFileName をハード設定することなく、エクスポートされたノートの OS ファイル名またはパスをコード内で参照する必要がある、より複雑なエクスポート シナリオで非常に役立ちます。設定されていない場合、後者は Tinderbox 内でクエリできません。\nエクスポートされたファイル名だけをパスから取得するには:\n$MyString = $HTMLExportPath.split(""/"").at(-1)\nこのメモの場合:\n$パス = """"\n$HTMLExportPath = """"\n後者ではスペースが失われていることに注意してください。$HTMLExportFileNameSpacer が設定されている場合、エクスポート バージョンには $HTMLExportFileNameSpacer の変更も表示されます。"
HTMLExportTemplate,string,(not set - empty string),HTML,HTML export encoding,true,,,1.0.0,Baseline,,,,,,,true,"Name of the external template file or internal template to be used in exporting this note to HTML.\n$HTMLExportTemplate can be set via the Export Inspector's ▸ Export tab, 'Template' control or by using the Template pop-up menu on the note's text pane's HTML tab will also set this attribute for the note. The attribute value is the template note's $Path.\nTo set a value via the UI, at least one valid export template must be defined in the current document. If at least one valid template is defined, the first (by date of addition) is taken as the default and shown in the Export tab of the HTML Inspector.",このメモを HTML にエクスポートする際に使用する外部テンプレート ファイルまたは内部テンプレートの名前。\n$HTMLExportTemplate は、エクスポート インスペクターの [エクスポート] タブの [テンプレート] コントロールから設定するか、ノートのテキスト ペインの [HTML] タブの [テンプレート] ポップアップ メニューを使用して設定できます。これにより、ノートにこの属性も設定されます。属性値はテンプレート ノートの $Path です。\nUI を介して値を設定するには、少なくとも 1 つの有効なエクスポート テンプレートが現在のドキュメントで定義されている必要があります。少なくとも 1 つの有効なテンプレートが定義されている場合、最初の (追加日による) ものがデフォルトとして採用され、HTML インスペクターの [エクスポート] タブに表示されます。
HTMLFileNameLowerCase,boolean,false,HTML,HTML export file configuration,,,,1.1.4,Baseline,,,,,,,,"Letter case used for the HTML export filename for the note.\nIf set to 'true', this forces the exported HTML filenames to be all lowercase. This is useful if exporting to a server whose OS is case sensitive.\nThe default is false.",ノートの HTML エクスポート ファイル名に使用される大文字と小文字。\n「true」に設定すると、エクスポートされた HTML ファイル名がすべて小文字になります。これは、OS が大文字と小文字を区別するサーバーにエクスポートする場合に便利です。\nデフォルトは false です。
HTMLFileNameMaxLength,number,100,HTML,HTML export file configuration,,,,1.1.4,Baseline,,,,,,,,"Specifies the maximum number of characters allowed in exported filenames.\nThe default value is 100.\nThis change is an increase up from 8 characters in Tinderbox v1, raised to 24 characters in v3.0.5. Previous values reflected erstwhile OS filename and Web URL constraints.",エクスポートされるファイル名に許可される最大文字数を指定します。\nデフォルト値は 100 です。\nこの変更は、Tinderbox v1 の 8 文字から v3.0.5 では 24 文字に増加しました。以前の値は、以前の OS ファイル名と Web URL の制約を反映していました。
HTMLFirstParagraphEnd,string,<code>&lt;/p&gt;</code>,HTML,HTML export mark-up,,,,1.0.0,Baseline,,,,,,,true,"Ending tag for the current note's first paragraph (and only the first paragraph).\nThe opening value is set via $HTMLFirstParagraphStart.\nExport mark-up for all paragraphs succeeding the first are controlled by $HTMLParagraphStart and $HTMLParagraphEnd. Export mark-up for all paragraphs starting with a tab are controlled by $HTMLIndentedParagraphStart and $HTMLIndentedParagraphEnd.\n$HTMLFirstParagraphEnd can be set via the Export Inspector's ▸ Markup tab, 'First paragraph' 'end' box.",現在のノートの最初の段落 (および最初の段落のみ) の終了タグ。\n開始値は $HTMLFirstParagraphStart によって設定されます。\n最初の段落に続くすべての段落のエクスポート マークアップは、$HTMLParagraphStart と $HTMLParagraphEnd によって制御されます。タブで始まるすべての段落のエクスポート マークアップは、$HTMLIndentedParagraphStart と $HTMLIndentedParagraphEnd によって制御されます。\n$HTMLFirstParagraphEnd は、エクスポート インスペクターの [▸ マークアップ] タブの [最初の段落] と [終了] ボックスで設定できます。
HTMLFirstParagraphStart,string,<code>&lt;p&gt;</code>,HTML,HTML export mark-up,,,,1.0.0,Baseline,,,,,,,true,"Starting tag for the note's first paragraph (and only the first paragraph).\nThe closing value is set via $HTMLFirstParagraphEnd.\nValues for all paragraphs succeeding the first are controlled by $HTMLParagraphStart and $HTMLParagraphEnd. Export mark-up for all paragraphs starting with a tab are controlled by $HTMLIndentedParagraphStart and $HTMLIndentedParagraphEnd.\n$HTMLFirstParagraphStart can be set via the Export Inspector's ▸ Markup tab, 'First paragraph' 'start' box.",メモの最初の段落 (最初の段落のみ) の開始タグ。\n終了値は $HTMLFirstParagraphEnd によって設定されます。\n最初の段落に続くすべての段落の値は、$HTMLParagraphStart と $HTMLParagraphEnd によって制御されます。タブで始まるすべての段落のエクスポート マークアップは、$HTMLIndentedParagraphStart と $HTMLIndentedParagraphEnd によって制御されます。\n$HTMLFirstParagraphStart は、エクスポート インスペクターの [▸ マークアップ] タブの [最初の段落] の [開始] ボックスで設定できます。
HTMLFont,font,Andale Mono,HTML,General data,,,,7.0.0,Baseline,,,,,,,,Sets the font used in the HTML (view) sub-tab of the Text pane.\nDefaults to Andale Mono.,テキスト ペインの HTML (ビュー) サブタブで使用されるフォントを設定します。\nデフォルトは Andale Mono です。
HTMLFontSize,number,13,HTML,General data,,,,7.0.0,Baseline,,,,,,,,Sets the size of font used in the HTML (view) sub-tab of the Text pane.\nDefaults to 13 point.,テキスト ペインの HTML (ビュー) サブタブで使用されるフォントのサイズを設定します。\nデフォルトは 13 ポイントです。
HTMLImageEnd,string,<code>&gt;</code>,HTML,HTML export mark-up,,,,2.5.0,Baseline,,,,,,,,"Ending tag for images embedded in notes. \nThe default value is > but for XHTML use alter the value to />. The paired attribute is $HTMLImageStart.\nThis, and its pair attribute $HTMLIMageStart, allow for insertion of extra HTML tag attributes, e.g. CSS information.",メモに埋め込まれた画像の終了タグ。\nデフォルト値は > ですが、XHTML を使用する場合は値を /> に変更します。ペアの属性は $HTMLImageStart です。\nこれとそのペアの属性 $HTMLIMageStart により、追加の HTML タグ属性の挿入が可能になります。CSS情報。
HTMLImageStart,string,<code>&lt;img</code>,HTML,HTML export mark-up,,,,2.5.0,Baseline,,,,,,,,"Start tag for images embedded in notes.\nThe paired attribute is $HTMLImageEnd.\nThis, and its pair attribute $HTMLIMageEnd, allow for insertion of extra HTML tag attributes, e.g. CSS information.",ノートに埋め込まれた画像の開始タグ。\nペアの属性は $HTMLImageEnd です。\nこれとそのペアの属性 $HTMLIMageEnd により、追加の HTML タグ属性の挿入が可能になります。CSS情報。
HTMLIndentedParagraphEnd,string,<code>&lt;/blockquote&gt;</code>,HTML,HTML export mark-up,,,,4.0.0,Baseline,,,,,,,true,"Ending tag for any paragraph that begins with a tab character, will use this attribute rather than $HTMLFirstParagraphEnd or $HTMLParagraphEnd.\nThe opening export mark-up for such paragraphs is supplied by $HTMLIndentedParagraphStart.\nThe default is &lt;/blockquote> though for files created pre-v5, the old default of &lt;/p> will be retained so as not to upset existing output.\nThis default may be changed, or overridden, to generate a different indentation, to change the margins, etc.\nSee also $HTMLParagraphEnd and $HTMLFirstParagraphEnd.\n$HTMLIndentedParagraphEnd can be set via the Export Inspector's ▸ Markup tab, 'Indented' 'end' box.",タブ文字で始まる段落の終了タグは、$HTMLFirstParagraphEnd や $HTMLParagraphEnd ではなくこの属性を使用します。\nこのような段落の開始エクスポート マークアップは、$HTMLIndentedParagraphStart によって提供されます。\nデフォルトは &lt;/blockquote> ですが、v5 より前に作成されたファイルの場合は、既存の出力を混乱させないように、古いデフォルトの &lt;/p> が保持されます。\nこのデフォルトを変更またはオーバーライドして、別のインデントを生成したり、マージンを変更したりすることができます。\n$HTMLParagraphEnd および $HTMLFirstParagraphEnd も参照してください。\n$HTMLIndentedParagraphEnd は、エクスポート インスペクターの [▸ マークアップ] タブの [インデント] [終了] ボックスで設定できます。
HTMLIndentedParagraphStart,string,<code>&lt;blockquote&gt;</code>,HTML,HTML export mark-up,,,,4.0.0,Baseline,,,,,,,true,"Starting tag for any paragraph that begins with a tab character (used instead of $HTMLFirstParagraphStart or $HTMLParagraphStart).\nThe closing mark-up for such paragraphs is supplied by $HTMLIndentedParagraphEnd.\nThe default is &lt;blockquote> though for files created pre-v5, the old default of &lt;p style=""text-indent: 3em;""> will be retained so as not to upset existing output.\nThis default may be changed, or overridden, to generate a different indentation, to change the margins, etc.\nSee also $HTMLParagraphStart and $HTMLFirstParagraphStart.\n$HTMLIndentedParagraphStart can be set via the Export Inspector's ▸ Markup tab, 'Indented' 'start' box.","タブ文字で始まる段落の開始タグ ($HTMLFirstParagraphStart または $HTMLParagraphStart の代わりに使用)。\nこのような段落の終了マークアップは、$HTMLIndentedParagraphEnd によって提供されます。\nデフォルトは &lt;blockquote> ですが、v5 より前に作成されたファイルの場合は、既存の出力を混乱させないように、古いデフォルトの &lt;p style=""text-indent: 3em;""> が保持されます。\nこのデフォルトを変更またはオーバーライドして、別のインデントを生成したり、マージンを変更したりすることができます。\n$HTMLParagraphStart および $HTMLFirstParagraphStart も参照してください。\n$HTMLIndentedParagraphStart は、エクスポート インスペクターの [▸ マークアップ] タブの [インデント] '開始' ボックスで設定できます。"
HTMLItalicEnd,string,<code>&lt;/i&gt;</code>,HTML,HTML export mark-up,,,,2.0.0,Baseline,,,,,,,true,"Ending tag to use for closing italic passages of the current note's text being exported to HTML.\nThe code can also be set via the HTML Inspector's Style sub-tab. The opening tag is set via $HTMLItalicStart.\n$HTMLItalicEnd can be set via the Export Inspector's ▸ Style tab, 'Italic' 'end' input box.",HTML にエクスポートされる現在のノートのテキストの斜体の部分を閉じるために使用する終了タグ。\nコードは、HTML インスペクターの [スタイル] サブタブからも設定できます。開始タグは $HTMLItalicStart 経由で設定されます。\n$HTMLItalicEnd は、エクスポート インスペクターの [▸ スタイル] タブ、[斜体]、[終了] 入力ボックスを介して設定できます。
HTMLItalicStart,string,<code>&lt;i&gt;</code>,HTML,HTML export mark-up,,,,2.0.0,Baseline,,,,,,,true,"Starting tag to use for opening italic passages of the current note's text being exported to HTML.\nThe code can also be set via the HTML views Style pane. The closing tag is set via $HTMLItalicEnd.\n$HTMLItalicStart can be set via the Export Inspector's ▸ Style tab, 'Italic' 'start' input box.",HTML にエクスポートされる現在のノートのテキストの斜体の部分を開くために使用する開始タグ。\nコードは、HTML ビューの [スタイル] ペインから設定することもできます。終了タグは $HTMLItalicEnd によって設定されます。\n$HTMLItalicStart は、エクスポート インスペクターの [▸ スタイル] タブ、[斜体]、[開始] 入力ボックスを介して設定できます。
HTMLLinkExtension,string,(not set - empty string),HTML,HTML export post-processing,,,,7.0.0,Baseline,,,,,,,,"If post-processing used, this indicates the extension used when generating inter-file links.\nNecessary as the extension may differ from $HTMLExportExtension if the latter is set for post-processing needs, e.g. to '.md' as opposed to '.html'. In such a case $HTMLLinkExtension would be set to '.html' if that were the file extension used as the result of post processing.",後処理が使用される場合、これはファイル間リンクを生成するときに使用される拡張子を示します。\n$HTMLExportExtension が後処理ニーズに設定されている場合、拡張子は $HTMLExportExtension とは異なる可能性があるため、必要です。「.html」ではなく「.md」に変更します。このような場合、後処理の結果として使用されるファイル拡張子であれば、$HTMLLinkExtension は '.html' に設定されます。
HTMLListEnd,string,<code>&lt;/ul&gt;</code>,HTML,HTML export mark-up,,,,2.2.0,Baseline,,,,,,,true,"Ending tag to use for closing bulleted (unordered) lists in the current note's text being exported to HTML.\nThe opening tag is set via $HTMLListStart.\nIf the $HTMLListItemStart and $HTMLListItemEnd attributes are empty, all quick lists, as defined by lines starting with an * or a #, are disabled.\n$HTMLListEnd can be set via the Export Inspector's ▸ List tab, 'Unordered' 'end' box.",HTML にエクスポートされる現在のノートのテキスト内の箇条書き (順序なし) リストを閉じるために使用する終了タグ。\n開始タグは $HTMLListStart 経由で設定されます。\n$HTMLListItemStart 属性と $HTMLListItemEnd 属性が空の場合、* または # で始まる行で定義されているすべてのクイック リストが無効になります。\n$HTMLListEnd は、エクスポート インスペクターの [リスト] タブの [順序なし] [終了] ボックスで設定できます。
HTMLListItemEnd,string,<code>&lt;/li&gt;</code>,HTML,HTML export mark-up,,,,2.2.0,Baseline,,,,,,,true,"Ending tag to use for closing list items in the current note's text being exported to HTML.\nThe opening tag is set via $HTMLListItemStart.\nIf $HTMLListItemStart and $HTMLListItemEnd are empty, quick lists, as defined by lines starting with an * or a #, are disabled.\n$HTMLListItemEnd can be set via the Export Inspector's ▸ List tab, 'List item' 'end' box.",HTML にエクスポートされる現在のノートのテキスト内のリスト項目を閉じるために使用する終了タグ。\n開始タグは $HTMLListItemStart 経由で設定されます。\n$HTMLListItemStart と $HTMLListItemEnd が空の場合、* または # で始まる行で定義されているクイック リストは無効になります。\n$HTMLListItemEnd は、エクスポート インスペクターの [リスト] タブの [リスト項目] の [終了] ボックスで設定できます。
HTMLListItemStart,string,<code>&lt;li&gt;</code>,HTML,HTML export mark-up,,,,2.2.0,Baseline,,,,,,,true,"Starting tag to use for opening list items in the current note's text being exported to HTML.\nThe closing tag is set via $HTMLListItemEnd.\nIf $HTMLListItemStart and $HTMLListItemEnd are empty, quick lists, as defined by lines starting with an * or a #, are disabled.\n$HTMLListItemStart can be set via the Export Inspector's ▸ List tab, 'List item' 'start' box.",HTML にエクスポートされる現在のノートのテキスト内のリスト項目を開くために使用する開始タグ。\n終了タグは $HTMLListItemEnd によって設定されます。\n$HTMLListItemStart と $HTMLListItemEnd が空の場合、* または # で始まる行で定義されているクイック リストは無効になります。\n$HTMLListItemStart は、エクスポート インスペクターの [リスト] タブの [リスト項目] の [開始] ボックスで設定できます。
HTMLListStart,string,<code>&lt;ul&gt;</code>,HTML,HTML export mark-up,,,,2.2.0,Baseline,,,,,,,true,"Starting tag to use for opening bulleted (unordered) lists in the current note's text being exported to HTML.\nThe closing tag is set via $HTMLListEnd. \nChanging this attribute's tag to &lt;ul type=""circle""> with allowable type values of circle, square or disc lets you alter the bullet type.\nIf the $HTMLListItemStart and $HTMLListItemEnd attributes are empty, all quick lists, as defined by lines starting with an * or a #, are disabled.\n$HTMLListStart can be set via the Export Inspector's ▸ List tab, 'Unordered' 'start' box.","HTML にエクスポートされる現在のノートのテキスト内の箇条書き (順序なし) リストを開くために使用する開始タグ。\n終了タグは $HTMLListEnd 経由で設定されます。\nこの属性のタグを &lt;ul type=""circle""> に変更し、許容されるタイプ値として円、正方形、または円板を指定すると、箇条書きタイプを変更できます。\n$HTMLListItemStart 属性と $HTMLListItemEnd 属性が空の場合、* または # で始まる行で定義されているすべてのクイック リストが無効になります。\n$HTMLListStart は、エクスポート インスペクターの [リスト] タブ、[順序なし] の [開始] ボックスで設定できます。"
HTMLMarkdown,boolean,false,HTML,HTML export post-processing,,,,9.0.0,Baseline,,,,,,,,"Allows note using Markdown to also process Export code.\n$HTMLMarkdown is only used if $HTMLPreviewCommand has a value, i.e. that note us using Markdown processing.\nThe main use is processing value code inline in $Text for notes using Markdown. An important exception is that Markdown headings are not misinterpreted as quicklists.\nReplaces the older and now deprecated $HTMLMarkDown.",Markdown を使用したメモでもエクスポート コードを処理できるようになります。\n$HTMLMarkdown は、$HTMLPreviewCommand に値がある場合、つまり、Markdown 処理を使用していることに注意する場合にのみ使用されます。\n主な用途は、Markdown を使用してメモの $Text 内の値コードをインラインで処理することです。重要な例外は、Markdown の見出しがクイックリストとして誤って解釈されないことです。\n古い、現在は非推奨となった $HTMLMarkDown を置き換えます。
HTMLMarkDown,boolean,false,HTML,HTML export post-processing,,,,8.0.0,Baseline,,,,,,,,"OBSOLETE: do not use, see HTMLMarkdown.\nNo longer processed and function taken over by $HTMLMarkdown.\nOld name variant only found in older TBXs.",廃止: 使用しないでください。HTMLMarkdown を参照してください。\n処理されなくなり、機能は $HTMLMarkdown に引き継がれます。\n古い名前のバリアントは古い TBX でのみ見られます。
HTMLMarkupText,boolean,true,HTML,HTML export encoding,,,,1.0.0,Baseline,,,,,,,true,"Ensures any HTML code (e.g. code examples) within the note text export as HTML entities rather than literal HTML code.\nThus a &gt; character is exported as &amp;gt; so as to show as &gt; on screen and not be parsed as HTML code.\nYou would use a non-default value of false for any note where you have included HTML mark-up that has already been HTML 'entified' in the note text (and so a &amp;gt; character in text is exported unchanged as &amp;gt; thus rendering as source code, etc.).\n$HTMLMarkupText can be set via the Export Inspector's ▸ Export tab, 'Markup text' box.\nWhereas HTMLQuoteHTML just looks at mark-up code such as HTML/XML/PHP/etc. in the note's source text, HTMLMarkupText considers other aspects of the note. For example, if you set HTMLMarkupText to false macros are not expanded, styles are ignored, quick links are not created and so forth. As the attribute title implies you have turned mark-up off and you're just passing out raw text into the HTML export template. Depending on the latter's mark-up you may or may not see un-marked-up text in your browser.\nThus the default setting of true is almost invariably the correct setting for this attribute.\nThe attribute also controls, or has a part in, several display-related export functions (quick lists, auto-headings, etc.).",メモテキスト内の HTML コード (コード例など) がリテラルの HTML コードではなく HTML エンティティとしてエクスポートされるようにします。\nしたがって、>文字は &amp;gt; としてエクスポートされます。> と表示されるようにします。画面上に表示され、HTML コードとして解析されません。\nすでに HTML で「エンティティ化」されている HTML マークアップをノート テキストに含めたノートには、デフォルト以外の値 false を使用します (そのため、テキスト内の &amp;gt; 文字は変更されずに &amp;gt; としてエクスポートされ、ソース コードなどとしてレンダリングされます)。\n$HTMLMarkupText は、エクスポート インスペクターの [エクスポート] タブの [マークアップ テキスト] ボックスで設定できます。\n一方、HTMLQuoteHTML は HTML/XML/PHP などのマークアップ コードを調べるだけです。ノートのソース テキストでは、HTMLMarkupText はノートの他の側面を考慮します。たとえば、HTMLMarkupText を false に設定すると、マクロは展開されず、スタイルは無視され、クイック リンクは作成されません。属性タイトルが示すように、マークアップがオフになっており、生のテキストを HTML エクスポート テンプレートに渡しているだけです。後者のマークアップに応じて、マークアップされていないテキストがブラウザに表示される場合と表示されない場合があります。\nしたがって、デフォルト設定の true が、ほぼ常にこの属性の正しい設定になります。\nこの属性は、いくつかの表示関連のエクスポート機能 (クイック リスト、自動見出しなど) を制御するか、その一部を担っています。
HTMLOrderedListEnd,string,<code>&lt;/ol&gt;</code>,HTML,HTML export mark-up,,,,2.5.0,Baseline,,,,,,,true,"Ending tag markup for ordered list generated by quick lists.\nHTML ordered lists may be created by beginning new paragraphs with the '#' symbol. Ordered and regular (unordered) quick lists should not be mixed.\nThe starting tag is set via $HTMLOrderedListStart.\nIf the $HTMLListItemStart and $HTMLListItemEnd attributes are empty, all quick lists, as defined by lines starting with an * or a #, are disabled.\n$HTMLOrderedListEnd can be set via the Export Inspector's ▸ List tab, 'Ordered' 'end' box.",クイック リストによって生成された順序付きリストの終了タグ マークアップ。\nHTML 順序付きリストは、新しい段落を「#」記号で始めることによって作成できます。順序付きクイック リストと通常の (順序なし) クイック リストを混合しないでください。\n開始タグは $HTMLOrderedListStart によって設定されます。\n$HTMLListItemStart 属性と $HTMLListItemEnd 属性が空の場合、* または # で始まる行で定義されているすべてのクイック リストが無効になります。\n$HTMLOrderedListEnd は、エクスポート インスペクターの [リスト] タブの [順序付き] '終了' ボックスで設定できます。
HTMLOrderedListItemEnd,string,<code>&lt;/li&gt;</code>,HTML,HTML export mark-up,,,,2.5.0,Baseline,,,,,,,,"Ending tag to use for opening ordered list items in the current note's text being exported to HTML.\nThe closing tag is set via $HTMLOrderedListItemStart.\nIf $HTMLOrderedListItemStart and $HTMLOrderedListItemEnd are empty, quick lists, as defined by lines starting with an * or a #, are disabled.",HTML にエクスポートされる現在のノートのテキスト内の順序付きリスト項目を開くために使用する終了タグ。\n終了タグは $HTMLOrderedListItemStart 経由で設定されます。\n$HTMLOrderedListItemStart と $HTMLOrderedListItemEnd が空の場合、* または # で始まる行で定義されているクイック リストは無効になります。
